Question ID,Question,Option,Response,Next ID
9,"So, since you stay up so late, you must need caffine! Do you enjoy coffee or tea more?",I definitely love coffee.,"I hear you! Coffee is such a comforting choice, especially during late nights. Speaking of, I feel like the effect of a warm drink really depends on the season.",11
9,"So, since you stay up so late, you must need caffine! Do you enjoy coffee or tea more?",I like them equally.,"That's awesome! I like them equally as well; it really depends on the moment for me. Speaking of, I feel like the effect of a warm drink really depends on the season.",11
9,"So, since you stay up so late, you must need caffine! Do you enjoy coffee or tea more?",I am a tea person for sure.,"While I’m a tea person, for sure, I can appreciate a good cup of coffee as well! Speaking of, I feel like the effect of a warm drink really depends on the season.",11
10,"I know for me in the morning I need some kind of caffeine! So, do you enjoy coffee or tea more?",I definitely love coffee.,"I hear you! Coffee is such a comforting choice, especially during late nights. Speaking of, I feel like the effect of a warm drink really depends on the season.",11
10,"I know for me in the morning I need some kind of caffeine! So, do you enjoy coffee or tea more?",I like them equally.,"That's awesome! I like them equally as well; it really depends on the moment for me. Speaking of, I feel like the effect of a warm drink really depends on the season.",11
10,"I know for me in the morning I need some kind of caffeine! So, do you enjoy coffee or tea more?",I am a tea person for sure.,"While I’m a tea person, for sure, I can appreciate a good cup of coffee as well! Speaking of, I feel like the effect of a warm drink really depends on the season.",11
11,"{Username}, what is your favourite season?",Summer,"Ahh, that is nice! There is nothing better than being under the warm sun, and of course summer is the best time for this. The change in seasons can really influence our mood! They often affect how we feel and cope with challenges.",16
,"{Username}, what is your favourite season?",Winter,"Ahh, that is nice! There is nothing better than wearing sweaters and drinking a warm drink, and of course winter is the best time for this. The change in seasons can really influence our mood! They often affect how we feel and cope with challenges.",16
,"{Username}, what is your favourite season?",Fall,"Ahh, that is nice! There is nothing better than seeing the falling leaves and rain, and of course fall is the best time for this. The change in seasons can really influence our mood! They often affect how we feel and cope with challenges.",16
,"{Username}, what is your favourite season?",Spring,"Ahh, that is nice! There is nothing better than seeing all of the plants blooming, and of course spring is the best time for this. The change in seasons can really influence our mood! They often affect how we feel and cope with challenges.",16
12,"Okay, but would you say you enjoy doing this in a group or alone?",In a group!,"That sounds fun! Doing things in a group can be a great way to bond with others, and find friends who enjoy similar things.",13
12,"Okay, but would you say you enjoy doing this in a group or alone?",By myself!,"That sounds fun! Doing things individually can be great for personal growth, and learning a lot about yourself!",13
13,"Speaking of groups, what type of friend group do you prefer, do you like being in a small or big friend group?",I prefer smaller groups.,"I get that! Smaller friend groups are much more intimate! I like that smaller groups allow you to get to know people on a really personal level. Speaking of friends, there are so many different ways to keep in contact with them.",14
13,"Speaking of groups, what type of friend group do you prefer, do you like being in a small or big friend group?",I like them equally.,"Speaking of friends, there are so many different ways to keep in contact with them. That makes sense! As with anything, there are benefits for both! Big groups can be super interesting, but smaller groups are much more intimate. Speaking of friends, there are so many different ways to keep in contact with them.",14
13,"Speaking of groups, what type of friend group do you prefer, do you like being in a small or big friend group?",I prefer bigger groups.,"I get that! Bigger groups can be more interesting! I really like how big groups mean you'll always have someone free to do something! Speaking of friends, there are so many different ways to keep in contact with them.",14
14,"{Username], how do you keep in contact with your friends?",Texting.,Texting can be a great way to keep in touch with friends. This is especially true if you don't live close to each other! Maintaing friendships are so important! They can help us when we are struggling.,16
14,"{Username], how do you keep in contact with your friends?",Meeting in-person.,Meeting up in-person can be a great way to keep in touch with friends. There's nothing better than enjoying quality time with friends! Maintaing friendships are so important! They can help us when we are struggling.,16
14,"{Username], how do you keep in contact with your friends?",Video/phone call.,Video calling/talking on the phone can be a great way to keep in touch with friends. This is especially true if you don't live close to each other! Maintaing friendships are so important! They can help us when we are struggling.,16
14,"{Username], how do you keep in contact with your friends?",Depends on the friend.,"That makes sense everyone is different! Meeting in person can be great for the friends that live close, but for some friends calling or texting is the only option! Maintaing friendships are so important! They can help us when we are struggling.",16
15,Would say you usually prefer to learn something new in the morning or at night?,I am a night owl!,"Ahh I get it, some people think they are more creative at night!",9
15,Would say you usually prefer to learn something new in the morning or at night?,Definitely a morning person,"Ahh, that's nice. It can be really enjoyable to start your days like that!",10
16,"When are you feeling down, how do you deal with it?",I choose to be alone.,I understand; sometimes solitude can provide the space we need to reflect and recharge.,17
16,"When are you feeling down, how do you deal with it?",I choose to talk to others.,That's a great approach! Talking things out can really help lighten the load and bring new perspectives.,18
16,"When are you feeling down, how do you deal with it?",I try to stay busy.,Staying busy can be a good distraction! It often helps to keep our minds occupied and focused on positive activities.,19
16,"When are you feeling down, how do you deal with it?",I try to distract myself by changing my focus.,That's a smart strategy! Shifting focus can help break negative thought patterns and bring a fresh outlook.,20
17,When talking with others do you prefer that they just listen or try to offer up advice?,Just listen to me.,Good to know about you! It's really nice for someone to just listen when you are feeling down. Sometimes providing a solution might make you feel like you aren't being heard. That's exactly what I am here for!,21
17,When talking with others do you prefer that they just listen or try to offer up advice?,Try to help me.,Good to know about you! It's good to try to find solutions. I think it's a nice way to try to have a positive outlook on what is otherwise not the best situation. That's exactly what I am here for!,21
18,"When you're alone, do you prefer to engage in calming activities or something more stimulating?",Calming.,I'm glad I know that this is what's best for you when you are struggling. Calming activities are a good way to step back and give yourself a break.That's exactly what I am here for!,21
18,"When you're alone, do you prefer to engage in calming activities or something more stimulating?",More exciting.,Good to know about you! It's really nice for someone to just listen when you are feeling down. Sometimes providing a solution might make you feel like you arent being heard. That's exactly what I am here for!,21
19,"When trying to stay busy, do you prefer to engage in calming activities or something more stimulating?",Calming.,I'm glad I know that this is what's best for you when you are struggling. Calming activities are a good way to step back and give yourself a break.That's exactly what I am here for!,21
19,"When trying to stay busy, do you prefer to engage in calming activities or something more stimulating?",More exciting.,Good to know about you! It's really nice for someone to just listen when you are feeling down. Sometimes providing a solution might make you feel like you arent being heard. That's exactly what I am here for!,21
20,"When changing your focus, do you prefer to engage in calming activities or something more stimulating?",Calming.,I'm glad I know that this is what's best for you when you are struggling. Calming activities are a good way to step back and give yourself a break.That's exactly what I am here for!,21
20,"When changing your focus, do you prefer to engage in calming activities or something more stimulating?",More exciting.,Good to know about you! It's really nice for someone to just listen when you are feeling down. Sometimes providing a solution might make you feel like you arent being heard. That's exactly what I am here for!,21
21,"Speaking of, {Username} do you find opening up to someone hard?","Yes, it's really hard for me.","That's okay! Sometimes it's better to open up to someone you know really well! If it's any comfort, you opened up to me today! ",
21,"Speaking of, {Username} do you find opening up to someone hard?",Depends on who I’m talking to.,That makes total sense! Everyone is different and some people are easier to open up to! I really appreciate you opening up to me today!,
21,"Speaking of, {Username} do you find opening up to someone hard?",It takes some time for me.,"That's okay! Sometimes it's better to open up to someone you know really well! If it's any comfort, you opened up to me today! ",
21,"Speaking of, {Username} do you find opening up to someone hard?","No, I can open up to anyone.",That's great! It's amazing you can feel like you can talk with anyone! I really appreciate you opening up to me today!,
